"Subject" "Emotion" "Memory" "Test.Tag"
"300" 12 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_5.png"
"301" 12 "Anger" "Anger\Female\AF_1.png" "Anger\Female\AF_2.png"
"302" 12 "Fear" "Fear\Female\FF_4.png" "Fear\Female\FF_2.png"
"303" 12 "Anger" "Anger\Female\AF_7.png" "Anger\Female\AF_6.png"
"304" 12 "Fear" "Fear\Female\FF_6.png" "Fear\Female\FF_5.png"
"305" 12 "Happy" "Happiness\Male\HM_6.png" "Happiness\Male\HM_5.png"
"306" 12 "Fear" "Fear\Male\FM_3.png" "Fear\Male\FM_2.png"
"307" 12 "Fear" "Fear\Female\FF_7.png" "Fear\Female\FF_7.png"
"308" 12 "Fear" "Fear\Male\FM_6.png" "Fear\Male\FM_7.png"
"309" 12 "Anger" "Anger\Female\AF_2.png" "Anger\Female\AF_4.png"
"310" 12 "Anger" "Anger\Male\AM_4.png" "Anger\Male\AM_5.png"
"311" 12 "Fear" "Fear\Female\FF_1.png" "Fear\Female\FF_2.png"
"312" 12 "Fear" "Fear\Female\FF_0.png" "Fear\Female\FF_1.png"
"313" 12 "Anger" "Anger\Male\AM_5.png" "Anger\Male\AM_5.png"
"314" 12 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_0.png"
"315" 12 "Happy" "Happiness\Female\HF_4.png" "Happiness\Female\HF_5.png"
"316" 12 "Anger" "Anger\Male\AM_6.png" "Anger\Male\AM_5.png"
"317" 12 "Fear" "Fear\Male\FM_2.png" "Fear\Male\FM_6.png"
"318" 12 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_5.png"
"319" 12 "Anger" "Anger\Female\AF_6.png" "Anger\Female\AF_7.png"
"320" 12 "Anger" "Anger\Male\AM_3.png" "Anger\Male\AM_3.png"
"321" 12 "Fear" "Fear\Female\FF_3.png" "Fear\Female\FF_3.png"
"322" 12 "Happy" "Happiness\Male\HM_1.png" "Happiness\Male\HM_1.png"
"323" 12 "Fear" "Fear\Male\FM_1.png" "Fear\Male\FM_1.png"
"324" 12 "Happy" "Happiness\Female\HF_3.png" "Happiness\Female\HF_4.png"
